2023-07-12T17:06:44Z
 
Index TimeTaken
1423 715.9979
1881 716.7438
2540 716.9553
914 717.1096
2618 717.2872
492 717.4424
409 717.4692
1000409 717.5986
1715 717.7657
3200 717.9594
1276 718.0881
1079 718.2543
3176 718.41
217 718.4374
1000217 718.5759
960 718.7214
3196 718.8882
1837 719.0555
3128 719.2205
2967 719.3989
3521 719.4247
1003521 719.5659
3323 719.7599
387 719.943
3134 720.1342
2878 720.3315
823 720.5879
2483 720.6136
1002483 721.0098
1894 721.4881
2195 722.1097
1670 722.7652
1489 723.2873
1988 723.7204
999999999 724.1873
