2023-05-29T17:05:39Z
 
Index_No.     Time_Stamp
492      261.5892
492      261.603
492      261.6146
492      261.6224
492      261.6339
492      261.6468
492      261.6581
492      261.6664
492      261.678
492      261.6895
492      261.7003
492      261.7116
492      261.7234
492      261.7338
492      261.7448
492      261.7561
492      261.767
492      261.7781
492      261.7897
492      261.8003
492      261.8115
492      261.8227
492      261.8335
492      261.8449
492      261.856
492      261.8671
492      261.878
492      261.8893
492      261.9005
492      261.9115
492      261.9228
492      261.9337
492      261.9447
492      261.9564
492      261.967
492      261.9781
492      261.9894
492      262.0007
492      262.0114
492      262.023
492      262.0337
492      262.0448
492      262.0561
492      262.0669
492      262.0782
492      262.0893
492      262.1006
492      262.1143
492      262.1248
492      262.1335
492      262.1448
492      262.1559
492      262.167
492      262.178
492      262.1895
492      262.2002
492      262.2115
492      262.223
492      262.2345
492      262.2446
492      262.2561
492      262.2672
492      262.278
492      262.2895
492      262.3003
492      262.3125
492      262.3229
492      262.3337
492      262.345
492      262.356
492      262.3669
492      262.3782
492      262.3894
492      262.4003
492      262.4117
492      262.4226
492      262.4338
492      262.4449
492      262.4558
492      262.4669
492      262.4784
492      262.4892
492      262.5004
492      262.5116
492      262.5225
492      262.5335
492      262.5451
492      262.5556
492      262.5667
492      262.5782
492      262.5892
492      262.6003
492      262.6117
492      262.6225
492      262.6334
492      262.6451
492      262.6566
492      262.6664
492      262.6783
492      262.6893
492      262.7007
492      262.7115
492      262.7224
492      262.7341
492      262.7449
492      262.756
492      262.7671
492      262.7784
492      262.7892
492      262.8004
492      262.8118
492      262.8232
492      262.8338
492      262.8453
492      262.856
492      262.8672
492      262.8781
492      262.8893
492      262.9002
492      262.9117
492      262.9227
492      262.9337
492      262.9451
492      262.9561
492      262.9671
492      262.9782
492      262.9892
492      263.0001
492      263.0117
492      263.0225
492      263.0337
492      263.045
492      263.0559
492      263.0669
492      263.0782
492      263.0891
492      263.1003
492      263.1115
492      263.1226
492      263.1332
492      263.1447
492      263.1556
492      263.1671
492      263.1779
492      263.1893
492      263.2027
492      263.2131
492      263.2223
492      263.2335
492      263.2448
492      263.2565
492      263.2663
492      263.2791
492      263.2886
492      263.2999
492      263.3115
492      263.3223
492      263.3335
492      263.3446
492      263.3556
492      263.3666
492      263.3781
492      263.3894
492      263.4
492      263.4113
492      263.4222
492      263.4333
492      263.4444
492      263.4555
492      263.4668
492      263.4782
492      263.4887
492      263.5
492      263.5111
492      263.5222
492      263.5334
492      263.5447
492      263.5554
492      263.5666
492      263.5781
492      263.5888
492      263.6001
492      263.6111
492      263.6237
492      263.6328
492      263.6446
492      263.6556
492      263.6665
492      263.6779
492      263.689
492      263.7007
492      263.7108
492      263.7221
492      263.7341
492      263.7444
492      263.7553
492      263.7666
492      263.7787
492      263.7886
492      263.7998
492      263.8115
492      263.822
492      263.8332
492      263.8445
492      263.8557
492      263.8667
492      263.8777
492      263.889
492      263.8997
492      263.9112
492      263.9222
492      263.9335
492      263.9446
492      263.9553
492      263.9666
492      263.9776
492      263.9891
492      263.9999
492      264.0109
492      264.0223
492      264.0331
492      264.0444
492      264.0557
492      264.0664
492      264.0776
492      264.0903
492      264.0995
492      264.1108
492      264.1223
492      264.1331
492      264.1443
492      264.1553
492      264.168
492      264.1777
492      264.1887
492      264.1999
492      264.2111
492      264.2224
492      264.2332
492      264.2444
492      264.2553
492      264.2664
492      264.2777
492      264.2888
492      264.3
492      264.311
492      264.323
492      264.3329
492      264.3444
492      264.3555
492      264.3665
492      264.3778
492      264.389
492      264.4
492      264.411
492      264.4225
492      264.4333
492      264.4446
492      264.4558
492      264.467
492      264.4782
492      264.4893
492      264.5003
492      264.5114
492      264.5224
492      264.5335
492      264.545
492      264.5559
492      264.5668
492      264.578
492      264.5896
492      264.6002
492      264.6114
492      264.6229
492      264.6336
492      264.6454
492      264.6558
492      264.6671
492      264.6783
492      264.6894
492      264.7003
492      264.7113
492      264.7225
492      264.7336
492      264.7455
492      264.756
492      264.7671
492      264.7784
492      264.7892
492      264.8004
492      264.8113
492      264.8229
492      264.8336
492      264.8447
492      264.856
492      264.8667
492      264.8781
492      264.8891
492      264.9005
492      264.9114
492      264.9225
492      264.9345
492      264.9449
492      264.9561
492      264.9672
492      264.9786
492      264.9892
492      265.0004
492      265.0117
492      265.0228
492      265.0338
492      265.0444
492      265.0559
492      265.0669
492      265.0781
492      265.0894
492      265.1019
492      265.111
492      265.1225
492      265.1335
492      265.1445
492      265.1555
492      265.1669
492      265.1779
492      265.1891
492      265.1999
492      265.2111
492      265.2222
492      265.2333
492      265.2444
492      265.2556
492      265.2667
492      265.2778
492      265.2904
492      265.2997
492      265.3109
492      265.3222
492      265.3339
492      265.3441
492      265.3555
492      265.3667
