2023-08-02T18:35:18Z
 
Index_No. VRHandPos.x VRHandPos.y VRHandPos.z HandPos.x HandPos.y HandPos.z ElbowPos.x ElbowPos.y ElbowPos.z ShoulderPos.x ShoulderPos.y ShoulderPos.z Time_Stamp Distance
3176 0.3372285 1.570274 -1.148684 -0.5230027 0.7447372 0.9809006 -0.7334648 0.592525 1.082217 -0.671482 0.6016112 1.332873 585.606 4.127756
3176 0.4698283 1.699374 -1.419514 -0.5184274 0.7500104 0.973561 -0.7265363 0.5970337 1.077888 -0.6722816 0.6014377 1.330454 585.6367 3.802388
3176 0.6078385 1.83567 -1.696271 -0.5142593 0.7551311 0.9659897 -0.7197675 0.6017875 1.074072 -0.6727945 0.6014536 1.328131 585.6555 3.468029
3176 0.7588655 1.984552 -1.987256 -0.507403 0.7653303 0.9515804 -0.7064797 0.6106583 1.067467 -0.6739286 0.6013437 1.323604 585.67 3.113663
3176 0.9128996 2.142113 -2.292815 -0.5045707 0.7703219 0.9452139 -0.7002247 0.6147424 1.064661 -0.6744735 0.6012236 1.321384 585.6838 2.743716
3176 1.201948 2.450821 -2.867206 -0.5019129 0.7750626 0.9394515 -0.6942393 0.6185251 1.062075 -0.6749683 0.6010416 1.319126 585.6976 2.050483
3176 1.335872 2.604146 -3.129464 -0.5019129 0.7750626 0.9394515 -0.6942393 0.6185251 1.062075 -0.6749683 0.6010416 1.319126 585.7104 1.734903
3176 1.458499 2.746414 -3.361594 -0.4995246 0.7796579 0.9344316 -0.6886576 0.6219665 1.059653 -0.6755037 0.6008939 1.316822 585.7244 1.459409
3176 1.460888 2.751009 -3.366614 -0.4974556 0.7841923 0.9302509 -0.6834829 0.6250395 1.057449 -0.6759955 0.6007068 1.314557 585.7387 1.453105
3176 1.574215 2.888649 -3.571344 -0.4974556 0.7841923 0.9302509 -0.6834829 0.6250395 1.057449 -0.6759955 0.6007068 1.314557 585.7515 1.216507
3176 1.671677 3.01341 -3.738796 -0.4957336 0.7883346 0.9269238 -0.6787866 0.6273947 1.055419 -0.6764948 0.6003819 1.312358 585.7651 1.034212
3176 1.673399 3.017553 -3.742123 -0.4932213 0.7929474 0.9217384 -0.6690085 0.635037 1.057866 -0.6864898 0.5932976 1.312238 585.779 1.030475
3176 1.75787 3.133599 -3.878232 -0.4932213 0.7929474 0.9217384 -0.6690085 0.635037 1.057866 -0.6864898 0.5932976 1.312238 585.7918 0.8994383
3176 2.141588 3.514753 -4.401906 -0.4916973 0.7964522 0.9204231 -0.6657811 0.6366691 1.056158 -0.6865426 0.5933535 1.310019 585.8061 0.7658422
3176 2.143112 3.518258 -4.403221 -0.4900617 0.7994379 0.920161 -0.6632607 0.6377139 1.054472 -0.6865311 0.5933673 1.307937 585.82 0.7679284
3176 2.188549 3.591512 -4.43576 -0.4900617 0.7994379 0.920161 -0.6632607 0.6377139 1.054472 -0.6865311 0.5933673 1.307937 585.8345 0.8235981
3176 2.21844 3.640301 -4.425668 -0.4882911 0.801869 0.9207894 -0.6615096 0.6382784 1.052806 -0.6864598 0.5934168 1.30602 585.8475 0.8750808
3176 2.220211 3.642732 -4.425039 -0.4863728 0.8037199 0.9221514 -0.6604173 0.6383433 1.051126 -0.6862962 0.5934443 1.304241 585.8615 0.8779321
3176 2.240154 3.671733 -4.37809 -0.4843758 0.8050545 0.9240538 -0.6598203 0.6380072 1.049471 -0.6860572 0.593472 1.302613 585.8749 0.9262266
3176 2.249559 3.680555 -4.300992 -0.4843758 0.8050545 0.9240538 -0.6598203 0.6380072 1.049471 -0.6860572 0.593472 1.302613 585.8877 0.9709906
3176 2.248111 3.671686 -4.204869 -0.4824567 0.8058766 0.9262475 -0.6596614 0.637387 1.047881 -0.6857916 0.593538 1.301154 585.9016 1.013675
