ID X Y Z
1079 -0.8378531 3.461987 -5.396947
3176 -3.469069 3.941987 -3.813912
217 -0.3158493 0.371987 -1.798668
960 -1.85307 0.6719871 -1.817528
3196 1.017576 0.9719871 -3.970804
1837 1.372172 3.701987 -4.574759
3128 0.6656516 1.151987 -5.493253
11 0.4065273 0.04198705 -5.417393
2967 0.814533 0.8519871 -5.411802
3521 -3.52031 3.941987 -3.45506
3323 -2.326503 4.091987 -3.648255
387 -1.324973 0.7319871 -1.722057
3134 -3.917717 4.391987 -2.463461
2878 -1.364447 5.021987 -3.992419
11 0.4065273 0.04198705 -5.417393
823 0.04275203 1.871987 -5.592229
2483 0.03574181 -0.7080129 -5.402622
1894 0.1215322 4.091987 -3.614707
2195 1.193831 2.531987 -4.11618
1670 -3.584987 2.951987 -4.530195
1489 0.2823477 3.881987 -3.599268
11 0.4065273 0.04198705 -5.417393
1988 1.477491 3.011987 -4.855666
1423 1.725432 3.791987 -4.115513
1881 -0.1516957 4.391987 -4.441234
2540 -1.773871 -1.998013 -4.216409
914 3.553405 3.131987 -3.744144
2618 0.162842 2.411987 -5.502349
11 0.4065273 0.04198705 -5.417393
492 -0.7858613 -2.208013 -5.005799
409 0.5970521 0.371987 -2.097182
1715 1.326523 3.701987 -4.623915
3200 1.32936 4.901987 -4.187117
1276 -0.02676511 -0.01801294 -5.509359
