2023-05-05T16:49:13Z
 
Index_No.     Position.x      Position.y      Position.z
637      -0.5175943      0.2772356      -0.7170009
637      -0.5175943      0.2772356      -0.7170009
637      -0.5177273      0.2772906      -0.7167989
637      -0.5178446      0.2775704      -0.716681
637      -0.5183406      0.2776503      -0.716229
637      -0.5183406      0.2776503      -0.716229
637      -0.5189762      0.2795238      -0.71434
637      -0.5193732      0.2797022      -0.713872
637      -0.5196109      0.279888      -0.7135189
637      -0.5196109      0.279888      -0.7135189
637      -0.5203277      0.279816      -0.7127782
637      -0.5206224      0.2802419      -0.7122731
637      -0.5206224      0.2802419      -0.7122731
637      -0.5214724      0.2813981      -0.7098658
637      -0.5218302      0.2814428      -0.7090166
637      -0.5218957      0.2829992      -0.7074096
637      -0.5222954      0.2833647      -0.7064549
637      -0.5227      0.2838679      -0.7055128
637      -0.5227      0.2838679      -0.7055128
637      -0.5227      0.2838679      -0.7055128
637      -0.5231651      0.2840804      -0.704518
637      -0.5243517      0.2841677      -0.7028721
637      -0.5247717      0.2844583      -0.7016238
637      -0.5251764      0.2847157      -0.7002082
637      -0.5255585      0.2850338      -0.6988525
637      -0.5262489      0.2858157      -0.6954965
637      -0.5265017      0.2862334      -0.6935265
637      -0.4858732      -0.5192051      -4.407566
637      -0.4864137      -0.5083426      -4.372993
637      -0.4856486      -0.4918961      -4.329248
637      -0.486213      -0.4913776      -4.32441
637      -0.4869335      -0.4633865      -4.210714
637      -0.4894229      -0.4199126      -4.052801
637      -0.4929253      -0.4008154      -3.990036
637      -0.4931617      -0.4007679      -3.987131
637      -0.493603      -0.3859142      -3.920147
637      -0.4984148      -0.365977      -3.835771
637      -0.5024896      -0.3264648      -3.668282
637      -0.5030706      -0.3060153      -3.585455
637      -0.5033151      -0.3055727      -3.577957
637      -0.4986617      -0.2616884      -3.391586
637      -0.4966599      -0.1988897      -3.133832
637      -0.4975073      -0.1686587      -3.002971
637      -0.4996965      -0.1421527      -2.871084
637      -0.5016279      -0.116494      -2.741342
637      -0.5031365      -0.08997381      -2.616811
637      -0.5034857      -0.06841457      -2.50793
637      -0.5061275      -0.0414809      -2.386248
637      -0.506785      -0.0411911      -2.376431
637      -0.5097334      0.005196452      -2.146487
637      -0.511178      0.02652347      -2.025719
637      -0.5131898      0.05104798      -1.900286
637      -0.5172238      0.07058668      -1.777728
637      -0.5230439      0.1101174      -1.548683
637      -0.5265822      0.1294419      -1.428143
637      -0.5308874      0.1470754      -1.310894
637      -0.5344213      0.16547      -1.197381
637      -0.5356966      0.1636199      -1.186246
