2023-05-29T17:05:39Z
 
Index_No.     Position.x      Position.y      Position.z 
492      -0.8994474      -1.586807      -4.919625
492      -0.900102      -1.587572      -4.918303
492      -0.9017714      -1.588175      -4.917791
492      -0.9044969      -1.591137      -4.917109
492      -0.9054794      -1.591387      -4.91645
492      -0.9053096      -1.590287      -4.9153
492      -0.9068723      -1.590386      -4.915798
492      -0.9082848      -1.592573      -4.915436
492      -0.9098965      -1.59336      -4.916368
492      -0.9118934      -1.594829      -4.917508
492      -0.9131783      -1.595429      -4.918972
492      -0.9149193      -1.595015      -4.921143
492      -0.9157091      -1.596332      -4.923712
492      -0.9164737      -1.597991      -4.924726
492      -0.9173421      -1.598698      -4.926404
492      -0.9180661      -1.598162      -4.928397
492      -0.9186227      -1.598747      -4.92989
492      -0.9189287      -1.599331      -4.931238
492      -0.9191239      -1.60018      -4.93166
492      -0.9200467      -1.60389      -4.933898
492      -0.9197315      -1.601389      -4.934641
492      -0.9194777      -1.60207      -4.935272
492      -0.9194888      -1.601422      -4.935741
492      -0.9197742      -1.599696      -4.934843
492      -0.9204365      -1.598421      -4.932799
492      -0.9203863      -1.59564      -4.930143
492      -0.920861      -1.595154      -4.926912
492      -0.921224      -1.594867      -4.925556
492      -0.9230613      -1.593025      -4.917932
492      -0.9232321      -1.590087      -4.913033
492      -0.9232798      -1.584823      -4.908667
492      -0.9220798      -1.58077      -4.902879
492      -0.922256      -1.577335      -4.894654
492      -0.9212041      -1.572739      -4.880386
492      -0.9208586      -1.574385      -4.873229
492      -0.9195768      -1.572421      -4.868101
492      -0.9188969      -1.570684      -4.866367
492      -0.9153198      -1.561507      -4.857183
492      -0.9141271      -1.558702      -4.853601
492      -0.912297      -1.556552      -4.848254
492      -0.910639      -1.554113      -4.845401
492      -0.9098154      -1.552529      -4.840396
492      -0.9084877      -1.550745      -4.838107
492      -0.9084532      -1.550159      -4.837847
492      -0.9085882      -1.549444      -4.83752
492      -0.9086806      -1.548691      -4.837242
492      -0.9087567      -1.547957      -4.837016
492      -0.9091803      -1.548511      -4.837693
492      -0.9097406      -1.546958      -4.836254
492      -0.9100208      -1.546581      -4.835926
492      -0.9101692      -1.545927      -4.835621
492      -0.910558      -1.545268      -4.835518
492      -0.9106705      -1.544368      -4.835067
492      -0.9107704      -1.544366      -4.834791
492      -0.9107704      -1.544366      -4.834791
492      -0.9110012      -1.543257      -4.833702
492      -0.9112419      -1.542893      -4.833468
492      -0.911575      -1.542856      -4.832604
492      -0.9119505      -1.543384      -4.832355
492      -0.9122822      -1.543501      -4.832239
492      -0.9122822      -1.543501      -4.832239
492      -0.9123234      -1.543388      -4.831909
492      -0.91286      -1.543854      -4.830912
492      -0.91286      -1.543854      -4.830912
492      -0.9133143      -1.544652      -4.83017
492      -0.9137446      -1.545554      -4.829824
492      -0.9141154      -1.546109      -4.829311
492      -0.9148117      -1.54697      -4.827804
492      -0.9152095      -1.547744      -4.827154
492      -0.9154736      -1.548412      -4.826597
492      -0.9159635      -1.549215      -4.826031
492      -0.9162333      -1.550053      -4.825411
492      -0.9162333      -1.550053      -4.825411
492      -0.9173616      -1.552276      -4.824638
492      -0.918153      -1.553872      -4.823201
492      -0.918153      -1.553872      -4.823201
492      -0.9186618      -1.554874      -4.822391
492      -0.9189469      -1.555145      -4.821526
492      -0.9200701      -1.55668      -4.820024
492      -0.9208317      -1.557444      -4.819332
492      -0.9217734      -1.55879      -4.819087
492      -0.9217734      -1.55879      -4.819087
492      -0.9233552      -1.560306      -4.817883
492      -0.9249235      -1.561513      -4.816398
492      -0.9249235      -1.561513      -4.816398
492      -0.9258462      -1.562348      -4.815751
492      -0.9266225      -1.563      -4.815072
492      -0.9284576      -1.564598      -4.813711
492      -0.9297466      -1.565985      -4.813185
492      -0.9309863      -1.567079      -4.812508
492      -0.9321053      -1.567947      -4.811838
492      -0.9332967      -1.56903      -4.811171
492      -0.9343407      -1.569502      -4.810528
492      -0.9368242      -1.572148      -4.809144
492      -0.9381562      -1.573147      -4.808261
492      -0.9394604      -1.574953      -4.807642
492      -0.9412199      -1.577111      -4.807213
492      -0.9426731      -1.578555      -4.806665
492      -0.9442292      -1.580056      -4.805933
492      -0.9456903      -1.581222      -4.80525
492      -0.9456903      -1.581222      -4.80525
492      -0.9488608      -1.584145      -4.803987
492      -0.950577      -1.585637      -4.803314
492      -0.9521594      -1.58698      -4.802627
492      -0.9552921      -1.589251      -4.801067
492      -0.9567165      -1.590441      -4.800257
492      -0.958294      -1.591292      -4.799369
492      -0.9596108      -1.592162      -4.798606
492      -0.9610212      -1.592867      -4.797631
492      -0.9610212      -1.592867      -4.797631
492      -0.9641465      -1.593852      -4.79636
492      -0.96723      -1.595577      -4.79532
492      -0.9686021      -1.595971      -4.794651
492      -0.9698708      -1.596177      -4.793885
492      -0.9712309      -1.596667      -4.793113
492      -0.9725361      -1.597212      -4.792321
492      -0.973845      -1.597433      -4.791657
492      -0.9752289      -1.597783      -4.791072
492      -0.9765142      -1.598429      -4.790536
492      -0.977791      -1.599197      -4.790019
492      -0.9791747      -1.600022      -4.789441
492      -0.9805461      -1.601325      -4.78873
492      -0.9832919      -1.604622      -4.787346
492      -0.9845324      -1.606661      -4.786348
492      -0.9857495      -1.60883      -4.78564
492      -0.9869992      -1.611162      -4.784935
492      -0.9881467      -1.613987      -4.784197
492      -0.9895682      -1.616529      -4.783832
492      -0.9907355      -1.620679      -4.783713
492      -0.9922674      -1.623732      -4.782845
492      -0.9955381      -1.631287      -4.782436
492      -0.9970058      -1.636265      -4.782373
492      -0.9987103      -1.641377      -4.782122
492      -1.000474      -1.646696      -4.782244
492      -1.002361      -1.652247      -4.782177
492      -1.004188      -1.658061      -4.782132
492      -1.005979      -1.663895      -4.782215
492      -1.005979      -1.663895      -4.782215
492      -1.009545      -1.675976      -4.781332
492      -1.012806      -1.687531      -4.779428
492      -1.014191      -1.692772      -4.778621
492      -1.543833      -2.404391      -4.478257
492      -1.54445      -2.434077      -4.45143
492      -1.545553      -2.466076      -4.425505
492      -1.547255      -2.50088      -4.399603
492      -1.54944      -2.538293      -4.373582
492      -1.550745      -2.573818      -4.348898
492      -1.553704      -2.619483      -4.318609
492      -1.555372      -2.662819      -4.288822
492      -1.55681      -2.707527      -4.257802
492      -1.558358      -2.754066      -4.225626
492      -1.559435      -2.801692      -4.19306
492      -1.560114      -2.850525      -4.158475
492      -1.560426      -2.90026      -4.123022
492      -1.560307      -2.953109      -4.085068
492      -1.559258      -3.0042      -4.047621
492      -1.558549      -3.059091      -4.007927
492      -1.556772      -3.113018      -3.968686
492      -1.555076      -3.168472      -3.928554
492      -1.552876      -3.225327      -3.887531
492      -1.550424      -3.285848      -3.845352
492      -1.5466      -3.348585      -3.803352
492      -1.541917      -3.413146      -3.760841
492      -1.536582      -3.479605      -3.718413
492      -1.53022      -3.547969      -3.674392
492      -1.523372      -3.624484      -3.632329
492      -1.515163      -3.711897      -3.594504
492      -1.505996      -3.807421      -3.559335
492      -1.495746      -3.912948      -3.526805
492      -1.484718      -4.034908      -3.499589
492      -1.471606      -4.178843      -3.4793
492      -1.454731      -4.368625      -3.473102
492      -1.441606      -4.397328      -3.477354
492      -1.447004      -4.487753      -3.507828
492      -1.44084      -4.47177      -3.489376
492      -1.440135      -4.479942      -3.488441
492      -1.44088      -4.720685      -3.582693
492      -1.449132      -4.858873      -3.630186
492      -1.459226      -5.110434      -3.722182
492      -1.461043      -5.259245      -3.773689
492      -1.487987      -5.459826      -3.846415
492      -1.491734      -5.605328      -3.892344
492      -1.517043      -5.804215      -3.953132
492      -1.541857      -5.997225      -4.011662
492      -1.545581      -6.01706      -4.006926
492      -1.652345      -6.682882      -4.16789
492      -1.699701      -6.92937      -4.208282
492      -1.751946      -7.180011      -4.238808
492      -1.81591      -7.476286      -4.270852
492      -1.876218      -7.727182      -4.2706
492      -1.943942      -8.020466      -4.267306
492      -2.023721      -8.309769      -4.258128
492      -2.104145      -8.57725      -4.228897
492      -2.113099      -8.600355      -4.211608
492      -2.361856      -9.423047      -4.022855
492      -2.446196      -9.680693      -3.915622
492      -2.533404      -9.937879      -3.803978
492      -2.616519      -10.16656      -3.669368
492      -2.70722      -10.42376      -3.533328
492      -2.78376      -10.62866      -3.359705
492      -2.911126      -10.94765      -3.02081
492      -2.918061      -10.94707      -2.823397
492      -2.923199      -10.95636      -2.806314
492      -3.046829      -11.26538      -2.463688
492      -3.098841      -11.4035      -2.303482
492      -3.079956      -11.28231      -2.123283
492      -3.097697      -11.37547      -1.95438
492      -3.115315      -11.43557      -1.794806
492      -3.122638      -11.50419      -1.642002
492      -3.121444      -11.59717      -1.488947
492      -3.123496      -11.61071      -1.373697
492      -3.123508      -11.61702      -1.354466
492      -3.081954      -11.76877      -1.002144
492      -3.060378      -11.80419      -0.9006244
492      -3.040092      -11.84274      -0.7970337
492      -3.01845      -11.88294      -0.7129425
492      -2.993008      -11.91795      -0.6336359
492      -2.97275      -11.96682      -0.563378
492      -2.936756      -12.05765      -0.4767598
492      -2.918798      -12.03009      -0.4381925
492      -2.890832      -12.06313      -0.3874726
492      -2.888568      -12.06709      -0.3775748
492      -2.808218      -12.15929      -0.2658926
492      -2.779748      -12.19018      -0.2402409
492      -2.757395      -12.20207      -0.2334193
492      -2.719015      -12.21923      -0.2232784
492      -2.685915      -12.22787      -0.2292085
492      -2.654692      -12.24912      -0.2389842
492      -2.594696      -12.26777      -0.2873323
492      -2.594696      -12.26777      -0.2873323
492      -2.591537      -12.26926      -0.2876292
492      -2.498089      -12.276      -0.4037008
492      -2.463115      -12.3148      -0.442739
492      -2.436333      -12.25968      -0.5054708
492      -2.409106      -12.26439      -0.5671103
