2023-06-08T14:49:54Z
 
Index_No. Position.x Position.y Position.z Time_Stamp Distance
1866 -0.8749365 -1.595959 -4.943671 1781.543 0.04483894
1866 -0.8747497 -1.59615 -4.946214 1781.558 0.04374651
1866 -0.8747492 -1.596236 -4.947831 1781.568 0.04323473
1866 -0.8746184 -1.596415 -4.949115 1781.577 0.0427163
1866 -0.8746184 -1.596415 -4.949115 1781.588 0.0427163
1866 -0.8746184 -1.596415 -4.949115 1781.599 0.0427163
1866 -0.8746352 -1.59651 -4.951107 1781.61 0.04223514
1866 -0.8743256 -1.596688 -4.953598 1781.621 0.04143023
1866 -0.8742203 -1.596246 -4.954319 1781.633 0.0413459
1866 -0.8740894 -1.596067 -4.954927 1781.644 0.04119149
1866 -0.8740213 -1.595567 -4.955153 1781.655 0.04124702
1866 -0.8739867 -1.595024 -4.956212 1781.68 0.0412671
1866 -0.8739867 -1.595024 -4.956212 1781.69 0.0412671
1866 -0.8744475 -1.593629 -4.956662 1781.699 0.04211817
1866 -0.8744475 -1.593629 -4.956662 1781.71 0.04211817
1866 -0.8749481 -1.592657 -4.956702 1781.722 0.04292196
1866 -0.875074 -1.592117 -4.956585 1781.733 0.04324442
1866 -0.8752783 -1.591661 -4.956265 1781.744 0.04362975
1866 -0.875517 -1.591267 -4.955402 1781.754 0.04408317
1866 -0.875517 -1.591267 -4.955402 1781.765 0.04408317
1866 -0.8760665 -1.590481 -4.954553 1781.777 0.04498748
1866 -0.8761076 -1.589586 -4.953855 1781.788 0.04547263
1866 -0.87637 -1.589235 -4.953142 1781.799 0.04595575
1866 -0.8763346 -1.588984 -4.952671 1781.811 0.04610114
1866 -0.8761886 -1.588841 -4.952141 1781.822 0.04611875
1866 -0.8760363 -1.588818 -4.95125 1781.832 0.04615613
1866 -0.8759107 -1.588644 -4.950549 1781.843 0.04625773
1866 -0.8757139 -1.588559 -4.950202 1781.854 0.04619282
1866 -0.8756314 -1.588496 -4.949589 1781.866 0.04628287
1866 -0.8756744 -1.588417 -4.949083 1781.877 0.04647181
1866 -0.8756432 -1.588336 -4.948653 1781.887 0.04658295
1866 -0.8755319 -1.588522 -4.947641 1781.9 0.04666852
1866 -0.8751551 -1.588459 -4.947025 1781.91 0.04653817
1866 -0.8748968 -1.588759 -4.946334 1781.922 0.04639095
1866 -0.8744994 -1.588965 -4.945739 1781.933 0.04614659
1866 -0.874167 -1.589281 -4.945068 1781.945 0.04594753
1866 -0.8736162 -1.590287 -4.945177 1781.955 0.04503816
1866 -0.8732926 -1.590665 -4.944953 1781.966 0.04468834
1866 -0.8728032 -1.590966 -4.944617 1781.976 0.04426958
1866 -0.8724415 -1.591543 -4.944439 1781.988 0.04380409
1866 -0.8724415 -1.591543 -4.944439 1781.999 0.04380409
1866 -0.8726997 -1.592569 -4.942712 1782.01 0.04430238
1866 -0.8729378 -1.592438 -4.941772 1782.022 0.04492666
1866 -0.8728597 -1.593448 -4.941118 1782.032 0.04479468
1866 -0.872988 -1.593597 -4.940511 1782.043 0.04511566
1866 -0.872984 -1.594081 -4.940084 1782.055 0.04514805
1866 -0.8729405 -1.594285 -4.939582 1782.066 0.04527495
1866 -0.8731123 -1.594119 -4.9388 1782.077 0.0458285
1866 -0.8729023 -1.594425 -4.937873 1782.089 0.04600336
1866 -0.8729023 -1.594425 -4.937873 1782.099 0.04600336
1866 -0.8730351 -1.596242 -4.936372 1782.11 0.0463619
1866 -0.8731823 -1.59689 -4.935702 1782.121 0.04667024
1866 -0.8733313 -1.59747 -4.935131 1782.133 0.04695961
1866 -0.8733862 -1.597917 -4.934608 1782.144 0.04718709
1866 -0.8735285 -1.598516 -4.933811 1782.154 0.0476151
1866 -0.8734728 -1.598904 -4.933008 1782.165 0.04794431
1866 -0.8736126 -1.599412 -4.932468 1782.176 0.04826995
1866 -0.8736195 -1.599917 -4.931438 1782.188 0.04878735
1866 -0.8736823 -1.600553 -4.930584 1782.199 0.04924366
1866 -0.8737277 -1.600951 -4.929469 1782.21 0.04989857
1866 -0.8744143 -1.601894 -4.927676 1782.221 0.05142244
1866 -0.8748793 -1.602517 -4.927004 1782.232 0.05213425
1866 -0.8753954 -1.603182 -4.926386 1782.244 0.05285739
1866 -0.8757819 -1.603654 -4.925901 1782.255 0.05342168
1866 -0.8761941 -1.60433 -4.925332 1782.266 0.05405129
1866 -0.8765876 -1.604321 -4.924584 1782.276 0.05483455
1866 -0.8766395 -1.604725 -4.923902 1782.288 0.05529282
1866 -0.8767413 -1.605213 -4.923178 1782.299 0.05581974
1866 -0.8767413 -1.605213 -4.923178 1782.31 0.05581974
1866 -0.8768365 -1.607075 -4.921682 1782.322 0.05683
1866 -0.8769928 -1.607722 -4.921085 1782.333 0.0573432
1866 -0.877044 -1.608276 -4.920421 1782.343 0.05783482
1866 -0.8770599 -1.608658 -4.919941 1782.354 0.05818016
1866 -0.8770449 -1.609014 -4.919474 1782.365 0.05849834
1866 -0.8772116 -1.609558 -4.91912 1782.376 0.05887569
1866 -0.8772289 -1.610463 -4.918149 1782.388 0.05959959
1866 -0.8772289 -1.610463 -4.918149 1782.399 0.05959959
1866 -0.8772289 -1.610463 -4.918149 1782.409 0.05959959
1866 -0.8773999 -1.611455 -4.916943 1782.421 0.06062326
1866 -0.8773033 -1.611668 -4.916365 1782.432 0.06098187
1866 -0.8773639 -1.611973 -4.915885 1782.442 0.06138756
1866 -0.8774369 -1.612154 -4.915467 1782.453 0.06175186
1866 -0.8774942 -1.612358 -4.914966 1782.465 0.06216851
1866 -0.8773135 -1.613136 -4.914933 1782.476 0.06212848
1866 -0.8773744 -1.61337 -4.914321 1782.487 0.06263624
1866 -0.8777114 -1.612267 -4.913304 1782.498 0.06352615
1866 -0.8777114 -1.612267 -4.913304 1782.508 0.06352615
1866 -0.8777944 -1.613032 -4.913181 1782.52 0.06372841
1866 -0.8777669 -1.613056 -4.912886 1782.531 0.06393009
1866 -0.877713 -1.61315 -4.91247 1782.542 0.06420965
1866 -0.8777856 -1.613338 -4.912205 1782.553 0.0644699
1866 -0.8776855 -1.613414 -4.911852 1782.565 0.06467322
1866 -0.8776399 -1.613493 -4.911563 1782.575 0.06486605
1866 -0.8775955 -1.613618 -4.911232 1782.586 0.06509583
1866 -0.8775935 -1.61385 -4.910763 1782.598 0.06546807
1866 -0.8775935 -1.61385 -4.910763 1782.609 0.06546807
1866 -0.8775935 -1.61385 -4.910763 1782.62 0.06546807
1866 -0.8775924 -1.614066 -4.910461 1782.631 0.06571463
1866 -0.8776081 -1.61416 -4.910358 1782.641 0.06581138
1866 -0.8777409 -1.614451 -4.910195 1782.653 0.06604847
1866 -0.8777203 -1.614638 -4.909996 1782.664 0.06620486
1866 -0.877757 -1.614801 -4.909949 1782.675 0.06628039
1866 -0.8777497 -1.614964 -4.909888 1782.686 0.06633851
1866 -0.8777145 -1.615244 -4.909745 1782.697 0.06645419
1866 -0.8774583 -1.615892 -4.910291 1782.708 0.0659503
1866 -0.8774583 -1.615892 -4.910291 1782.719 0.0659503
1866 -0.8760127 -1.617811 -4.910216 1782.731 0.06534652
1866 -0.875989 -1.618075 -4.910051 1782.741 0.06549784
1866 -0.8761072 -1.618219 -4.909804 1782.753 0.06578303
1866 -0.8768197 -1.615701 -4.909142 1782.764 0.06639645
1866 -0.876608 -1.6159 -4.909016 1782.775 0.06638436
1866 -0.8765089 -1.616268 -4.90906 1782.786 0.06633253
1866 -0.8763459 -1.616642 -4.908947 1782.797 0.06636629
1866 -0.8763459 -1.616642 -4.908947 1782.808 0.06636629
1866 -0.8762289 -1.616844 -4.908734 1782.819 0.06648441
1866 -0.8757893 -1.617388 -4.908753 1782.83 0.06627237
1866 -0.8758668 -1.617908 -4.908754 1782.841 0.0663948
1866 -0.8758461 -1.618296 -4.908711 1782.853 0.06647422
1866 -0.8758575 -1.618572 -4.908836 1782.864 0.06642827
1866 -0.875661 -1.618724 -4.908841 1782.875 0.06632839
1866 -0.8758267 -1.619416 -4.908685 1782.886 0.06666533
1866 -0.8759554 -1.619343 -4.908523 1782.897 0.06685667
1866 -0.8757975 -1.620213 -4.908772 1782.908 0.06672098
1866 -0.8761473 -1.621274 -4.908667 1782.919 0.0672179
1866 -0.8757982 -1.622283 -4.909016 1782.93 0.06694444
1866 -0.8756121 -1.622761 -4.909003 1782.941 0.06694518
1866 -0.875546 -1.623058 -4.909024 1782.953 0.06695512
1866 -0.8755023 -1.623332 -4.909085 1782.964 0.06694386
1866 -0.8756125 -1.623809 -4.909283 1782.975 0.06697075
1866 -0.875637 -1.624101 -4.90938 1782.986 0.06698129
1866 -0.8756306 -1.624273 -4.909382 1782.997 0.06701789
1866 -0.8755395 -1.623169 -4.909354 1783.008 0.06672477
1866 -0.8755395 -1.623169 -4.909354 1783.019 0.06672477
1866 -0.8749681 -1.622324 -4.909205 1783.03 0.06630516
1866 -0.8750216 -1.622466 -4.909184 1783.041 0.06638434
1866 -0.8751977 -1.622688 -4.909166 1783.053 0.06655359
1866 -0.8755171 -1.623268 -4.908953 1783.064 0.06703903
1866 -0.8756437 -1.623299 -4.908928 1783.074 0.06714192
1866 -0.8758991 -1.624063 -4.909401 1783.086 0.06711607
1866 -0.8762043 -1.624099 -4.909424 1783.096 0.06729358
1866 -0.8764625 -1.623774 -4.909334 1783.107 0.06744281
1866 -0.8764625 -1.623774 -4.909334 1783.119 0.06744281
1866 -0.8770872 -1.624015 -4.908814 1783.13 0.06827493
1866 -0.8777319 -1.624582 -4.908432 1783.141 0.069094
1866 -0.8780351 -1.62481 -4.908144 1783.153 0.06955153
1866 -0.8783611 -1.624749 -4.907932 1783.164 0.06989738
1866 -0.8787796 -1.624705 -4.907685 1783.174 0.07033134
1866 -0.8796543 -1.624557 -4.907249 1783.186 0.07116795
1866 -0.8796543 -1.624557 -4.907249 1783.196 0.07116795
1866 -0.8806521 -1.624363 -4.906673 1783.207 0.07217918
1866 -0.8806521 -1.624363 -4.906673 1783.219 0.07217918
1866 -0.8806521 -1.624363 -4.906673 1783.23 0.07217918
1866 -0.8818737 -1.624467 -4.906352 1783.241 0.07321659
1866 -0.8826674 -1.624211 -4.906189 1783.253 0.07378954
1866 -0.8832601 -1.624109 -4.906134 1783.264 0.07419166
1866 -0.8842151 -1.623382 -4.90591 1783.275 0.07482523
1866 -0.8849268 -1.623281 -4.905923 1783.286 0.07526513
1866 -0.8856238 -1.622992 -4.906167 1783.297 0.07549699
1866 -0.8862349 -1.622975 -4.906266 1783.308 0.07583388
1866 -0.8876392 -1.622803 -4.906132 1783.319 0.07685057
1866 -0.8876392 -1.622803 -4.906132 1783.33 0.07685057
1866 -0.8881532 -1.622681 -4.906218 1783.341 0.07711992
1866 -0.8892306 -1.62315 -4.906332 1783.352 0.07787694
1866 -0.8896409 -1.623089 -4.905882 1783.363 0.07846158
1866 -0.8899833 -1.622979 -4.905411 1783.374 0.07900531
1866 -0.8905517 -1.622715 -4.905163 1783.386 0.0795235
1866 -0.8910072 -1.622632 -4.904891 1783.397 0.08001489
1866 -0.8914655 -1.6239 -4.9044 1783.408 0.08091374
1866 -0.8918679 -1.623859 -4.904016 1783.419 0.0814518
1866 -0.8918679 -1.623859 -4.904016 1783.43 0.0814518
1866 -0.8939406 -1.622697 -4.902752 1783.441 0.08356051
1866 -0.8939406 -1.622697 -4.902752 1783.452 0.08356051
1866 -0.8952708 -1.622243 -4.901443 1783.463 0.08532106
1866 -0.8959503 -1.622565 -4.901008 1783.474 0.08615477
1866 -0.8962648 -1.623305 -4.901206 1783.485 0.08636972
1866 -0.8966746 -1.623615 -4.900417 1783.496 0.08725446
1866 -0.8972192 -1.623711 -4.899911 1783.508 0.08800246
1866 -0.8976595 -1.623896 -4.899508 1783.519 0.08862296
1866 -0.8980375 -1.624341 -4.899146 1783.53 0.08921841
1866 -0.899052 -1.624845 -4.898528 1783.541 0.09045032
1866 -0.8992752 -1.624836 -4.897961 1783.552 0.09099355
1866 -0.8996693 -1.62517 -4.897695 1783.564 0.09151602
1866 -0.8999632 -1.625463 -4.897323 1783.575 0.09203257
1866 -0.8996313 -1.626848 -4.897506 1783.586 0.09194675
1866 -0.8998727 -1.62709 -4.896784 1783.597 0.09265906
1866 -0.9013057 -1.624428 -4.895512 1783.608 0.09403153
1866 -0.9016365 -1.624359 -4.895258 1783.619 0.09442743
1866 -0.9016365 -1.624359 -4.895258 1783.63 0.09442743
1866 -0.9016365 -1.624359 -4.895258 1783.641 0.09442743
1866 -0.9023561 -1.625396 -4.894303 1783.652 0.0957747
1866 -0.9024957 -1.625714 -4.894017 1783.664 0.09612778
1866 -0.9025421 -1.625328 -4.893528 1783.675 0.09642704
1866 -0.9025432 -1.625737 -4.893031 1783.686 0.09684569
1866 -0.9024255 -1.625662 -4.892922 1783.697 0.09682586
1866 -0.9023564 -1.62614 -4.89231 1783.708 0.09729165
1866 -0.9022118 -1.626185 -4.892152 1783.719 0.09731027
1866 -0.9027134 -1.627885 -4.891216 1783.73 0.09863965
1866 -0.9027134 -1.627885 -4.891216 1783.741 0.09863965
1866 -0.9023032 -1.629515 -4.889703 1783.754 0.09976383
1866 -0.9016312 -1.630428 -4.889522 1783.764 0.09964181
1866 -0.9011991 -1.63095 -4.889085 1783.775 0.09978288
1866 -0.9007757 -1.631892 -4.888685 1783.786 0.1000093
1866 -0.9004209 -1.632272 -4.888093 1783.797 0.1002924
1866 -0.8994499 -1.63361 -4.887091 1783.808 0.100721
1866 -0.8989477 -1.634439 -4.886566 1783.819 0.1009964
1866 -0.8988648 -1.634304 -4.885995 1783.83 0.101326
1866 -0.8988648 -1.634304 -4.885995 1783.841 0.101326
1866 -0.8978516 -1.635701 -4.885167 1783.853 0.1016738
1866 -0.8973431 -1.63643 -4.884682 1783.865 0.1019201
1866 -0.897151 -1.636808 -4.884387 1783.875 0.1021279
1866 -0.8959574 -1.638647 -4.884291 1783.886 0.1020144
1866 -0.8952407 -1.639874 -4.883889 1783.897 0.1022644
1866 -0.8952407 -1.639874 -4.883889 1783.908 0.1022644
1866 -0.8940406 -1.641415 -4.883922 1783.919 0.1020317
1866 -0.8933675 -1.642147 -4.883924 1783.931 0.1018846
1866 -0.8933675 -1.642147 -4.883924 1783.942 0.1018846
1866 -0.892107 -1.643583 -4.883723 1783.953 0.1018124
1866 -0.8911622 -1.64482 -4.884044 1783.965 0.1014862
1866 -0.8901991 -1.646002 -4.88396 1783.975 0.1014561
1866 -0.8885347 -1.647792 -4.883969 1783.986 0.1012438
1866 -0.8876362 -1.648891 -4.883875 1783.997 0.1012808
1866 -0.8868022 -1.649681 -4.883681 1784.008 0.1013197
1866 -0.8859522 -1.650515 -4.883693 1784.019 0.101226
1866 -0.8853338 -1.651054 -4.883484 1784.03 0.101302
1866 -0.8853338 -1.651054 -4.883484 1784.041 0.101302
1866 -0.8853338 -1.651054 -4.883484 1784.053 0.101302
1866 -0.881924 -1.653559 -4.883626 1784.064 0.1006518
1866 -0.8810588 -1.654503 -4.883443 1784.075 0.1008232
1866 -0.8792332 -1.656189 -4.883512 1784.086 0.1007452
1866 -0.8792332 -1.656189 -4.883512 1784.097 0.1007452
1866 -0.878452 -1.657573 -4.883342 1784.108 0.101205
1866 -0.8775616 -1.658365 -4.883378 1784.12 0.1011901
1866 -0.8760236 -1.660948 -4.883185 1784.131 0.1020169
1866 -0.8760236 -1.660948 -4.883185 1784.141 0.1020169
1866 -0.8736256 -1.662391 -4.883198 1784.152 0.1018305
1866 -0.8727224 -1.663242 -4.88312 1784.164 0.1020087
1866 -0.8715407 -1.663956 -4.883129 1784.174 0.1019607
1866 -0.8702968 -1.664626 -4.883275 1784.187 0.1017825
1866 -0.86915 -1.665264 -4.883162 1784.198 0.1018331
1866 -0.8669081 -1.666869 -4.883245 1784.208 0.1019582
1866 -0.8657243 -1.666655 -4.883004 1784.22 0.1016535
1866 -0.8642751 -1.668027 -4.883126 1784.23 0.1019339
1866 -0.8631624 -1.668745 -4.883257 1784.241 0.101947
1866 -0.8620561 -1.669117 -4.883405 1784.252 0.1017586
1866 -0.8620561 -1.669117 -4.883405 1784.263 0.1017586
1866 -0.8597292 -1.670676 -4.883089 1784.274 0.102352
1866 -0.8585734 -1.671072 -4.883243 1784.287 0.1022066
1866 -0.8576594 -1.671739 -4.883269 1784.298 0.1023932
1866 -0.8560709 -1.673197 -4.883482 1784.307 0.1028126
1866 -0.8553458 -1.67394 -4.883689 1784.32 0.1029854
1866 -0.8545318 -1.674526 -4.883697 1784.331 0.1031991
1866 -0.8538451 -1.675667 -4.883755 1784.341 0.1037682
1866 -0.8538451 -1.675667 -4.883755 1784.353 0.1037682
1866 -0.8522515 -1.676913 -4.88355 1784.364 0.1044597
1866 -0.8513128 -1.677786 -4.883249 1784.375 0.1051082
1866 -0.8505169 -1.678408 -4.88307 1784.386 0.105533
1866 -0.8500827 -1.678902 -4.883143 1784.397 0.1057467
1866 -0.8496301 -1.680163 -4.883483 1784.408 0.1062881
1866 -0.849614 -1.68073 -4.883805 1784.419 0.1064401
1866 -0.849614 -1.68073 -4.883805 1784.43 0.1064401
1866 -0.8498076 -1.681344 -4.883842 1784.442 0.1068607
1866 -0.8498076 -1.681344 -4.883842 1784.453 0.1068607
1866 -0.8506145 -1.681259 -4.884406 1784.464 0.1065157
1866 -0.8510246 -1.680975 -4.884583 1784.475 0.1062548
1866 -0.8512324 -1.679092 -4.885024 1784.486 0.104686
1866 -0.8516296 -1.678582 -4.885076 1784.496 0.1043658
1866 -0.8519939 -1.677409 -4.885251 1784.508 0.1035081
1866 -0.8524292 -1.676778 -4.88541 1784.519 0.1030435
1866 -0.853093 -1.675929 -4.885636 1784.531 0.1024291
1866 -0.8542784 -1.675476 -4.885549 1784.541 0.1024097
1866 -0.8542784 -1.675476 -4.885549 1784.552 0.1024097
1866 -0.8542784 -1.675476 -4.885549 1784.563 0.1024097
1866 -0.8558686 -1.67223 -4.885483 1784.574 0.1006669
1866 -0.8563864 -1.670366 -4.885359 1784.586 0.09969129
1866 -0.8570168 -1.669033 -4.885037 1784.598 0.09924439
1866 -0.8578149 -1.665494 -4.884489 1784.608 0.09771671
1866 -0.8585553 -1.663666 -4.884383 1784.619 0.09691256
1866 -0.8591986 -1.661612 -4.884133 1784.63 0.0961053
1866 -0.859779 -1.659482 -4.883596 1784.642 0.09551339
1866 -0.8602751 -1.656962 -4.883083 1784.653 0.09472794
1866 -0.8602751 -1.656962 -4.883083 1784.664 0.09472794
1866 -0.8608174 -1.650433 -4.880681 1784.675 0.09370493
1866 -0.8609968 -1.646593 -4.879101 1784.686 0.09344759
1866 -0.8608729 -1.642036 -4.877186 1784.697 0.09332348
1866 -0.8609486 -1.632656 -4.872981 1784.708 0.09422466
1866 -0.8609486 -1.632656 -4.872981 1784.719 0.09422466
1866 -0.8612843 -1.62209 -4.867852 1784.73 0.09699044
1866 -0.8612843 -1.62209 -4.867852 1784.741 0.09699044
1866 -0.8612325 -1.616141 -4.864813 1784.753 0.09920944
1866 -0.8612325 -1.616141 -4.864813 1784.764 0.09920944
