2023-05-29T17:05:39Z
 
Index_No.    Distance
492      0.07901543
492      0.08003258
492      0.08151174
492      0.08345642
492      0.08456556
492      0.08524653
492      0.08626267
492      0.08721335
492      0.0879699
492      0.08889528
492      0.08923829
492      0.08986168
492      0.08930657
492      0.08939089
492      0.08946095
492      0.08945797
492      0.08939638
492      0.08917809
492      0.08914755
492      0.08908689
492      0.08872073
492      0.08825018
492      0.08817571
492      0.0888464
492      0.09020443
492      0.0913329
492      0.09294916
492      0.09381609
492      0.09878823
492      0.101605
492      0.1047802
492      0.107714
492      0.1133216
492      0.1226175
492      0.1267091
492      0.1299632
492      0.1312432
492      0.1386144
492      0.1415727
492      0.1454008
492      0.1476198
492      0.1517052
492      0.1535328
492      0.1539422
492      0.1545366
492      0.1550871
492      0.1555844
492      0.1550379
492      0.1570408
492      0.1575801
492      0.1581464
492      0.158672
492      0.1594367
492      0.1597022
492      0.1597022
492      0.1611095
492      0.1615529
492      0.1624028
492      0.1625657
492      0.1627674
492      0.1627674
492      0.1630908
492      0.1639474
492      0.1639474
492      0.164439
492      0.1645727
492      0.164948
492      0.1661606
492      0.1665875
492      0.1669196
492      0.1673253
492      0.1676616
492      0.1676616
492      0.1680802
492      0.1691097
492      0.1691097
492      0.1697001
492      0.1704591
492      0.1717689
492      0.1724863
492      0.1727675
492      0.1727675
492      0.1741254
492      0.1758138
492      0.1758138
492      0.1765974
492      0.1773861
492      0.1790551
492      0.179831
492      0.1807877
492      0.181737
492      0.182685
492      0.1836721
492      0.1856183
492      0.1868797
492      0.1877777
492      0.1887437
492      0.1897779
492      0.1910288
492      0.192252
492      0.192252
492      0.1947242
492      0.1960935
492      0.1974304
492      0.2003147
492      0.2017073
492      0.2032925
492      0.204626
492      0.2062019
492      0.2062019
492      0.209052
492      0.2116706
492      0.213027
492      0.2144067
492      0.2158353
492      0.2172448
492      0.2185762
492      0.2198907
492      0.2210944
492      0.2222772
492      0.2235788
492      0.2249642
492      0.2277247
492      0.2292692
492      0.2305973
492      0.2319687
492      0.2333333
492      0.2346213
492      0.2356674
492      0.2375132
492      0.2406063
492      0.2421648
492      0.2441376
492      0.2460149
492      0.2482652
492      0.2506281
492      0.2530066
492      0.2530066
492      0.2589512
492      0.2656935
492      0.2687765
492      1.169983
492      1.201863
492      1.235711
492      1.272285
492      1.311444
492      1.348584
492      1.396839
492      1.442986
