2023-04-12T14:41:08Z
 
Index No.     Position.x      Position.y      Position.z
479      -0.5250345      0.3037729      -0.6238014
479      -0.5251183      0.3038259      -0.6236715
479      -0.5251551      0.3038101      -0.6235815
479      -0.5252206      0.3037618      -0.6235204
479      -0.5252387      0.3036942      -0.6233953
479      -0.5252652      0.3036828      -0.6233273
479      -0.5253063      0.3036841      -0.6232441
479      -0.5253063      0.3036841      -0.6232441
479      -0.525322      0.3035903      -0.6230406
479      -0.5253554      0.3035926      -0.6230125
479      -0.5253553      0.3035643      -0.6229503
479      -0.5253525      0.3035022      -0.6229056
479      -0.5253401      0.3034713      -0.6228884
479      -0.5253088      0.3033195      -0.6228593
479      -0.5252566      0.3033143      -0.6228948
479      -0.5253094      0.3033068      -0.62286
479      -0.5253094      0.3033068      -0.62286
479      -0.5252663      0.3030859      -0.6227427
479      -0.5252683      0.3030822      -0.6227332
479      -0.5252468      0.3031126      -0.6227275
479      -0.5252171      0.3032668      -0.6227194
479      -0.5252621      0.3032822      -0.6227498
479      -0.5252308      0.303262      -0.6226849
479      -0.5252335      0.3033319      -0.6226536
479      -0.5251741      0.3033141      -0.62252
479      -0.5251741      0.3033141      -0.62252
479      -0.5254083      0.3037108      -0.6223307
479      -0.5255496      0.3040444      -0.621907
479      -0.5256706      0.30431      -0.6216084
479      -0.5258628      0.3046652      -0.621248
479      -0.526062      0.3050892      -0.620946
479      -0.5263181      0.3054916      -0.6204885
479      -0.52651      0.3057789      -0.6199986
479      -0.5268402      0.3062486      -0.6194239
479      -0.5271955      0.3067394      -0.6187749
479      -0.5280452      0.3077087      -0.6171362
479      -0.528472      0.3080301      -0.616274
479      -0.5291874      0.3087693      -0.6153386
479      -0.5298399      0.309282      -0.6142436
479      -0.530607      0.3098871      -0.612951
479      -0.5314733      0.310473      -0.6116301
479      -0.5324871      0.3111981      -0.610142
479      -0.5335334      0.3117015      -0.60851
479      -0.5346853      0.3122638      -0.6069455
479      -0.5358453      0.3127239      -0.6051845
479      -0.5370418      0.3131925      -0.6033009
479      -0.539479      0.3143446      -0.5995399
479      -0.5405404      0.3147653      -0.5974653
479      -0.5415541      0.3153783      -0.595342
479      -0.5424173      0.3159604      -0.5931178
479      -0.5432673      0.3164315      -0.590979
479      -0.54397      0.3169322      -0.5888173
479      -0.5446179      0.3177769      -0.5868427
479      -0.5446179      0.3177769      -0.5868427
479      -0.5465237      0.3189345      -0.5810903
479      -0.5470436      0.3192684      -0.579354
479      -0.5476484      0.3194233      -0.5777285
479      -0.5481632      0.3197929      -0.5763444
479      -0.5488169      0.3201274      -0.5750694
