2023-04-27T16:16:20Z
 
Index_No.     Position.x      Position.y      Position.z
479      -0.5388582      0.3098323      -0.7579598
479      -0.5386957      0.3098553      -0.758836
479      -0.538861      0.3103084      -0.7595049
479      -0.5391883      0.3107993      -0.7600715
479      -0.5396718      0.3113977      -0.7603172
479      -0.5401413      0.3117203      -0.7602067
479      -0.5403131      0.3119295      -0.759919
479      -0.540044      0.3119209      -0.759697
479      -0.5396825      0.3120978      -0.7595667
479      -0.5391157      0.3119363      -0.7596235
479      -0.5386316      0.311663      -0.7598393
479      -0.5380988      0.3109652      -0.7606561
479      -0.5382116      0.3103341      -0.7611187
479      -0.5379905      0.309218      -0.7615745
479      -0.5377768      0.3085599      -0.7620205
479      -0.5376977      0.3084408      -0.7620527
479      -0.537361      0.3075977      -0.7623033
479      -0.5370071      0.30703      -0.7623671
479      -0.5367985      0.3064939      -0.7624142
479      -0.5368677      0.305925      -0.7627914
479      -0.5368531      0.3051516      -0.7628732
479      -0.5368745      0.304566      -0.7629375
479      -0.5371534      0.3042653      -0.7628772
479      -0.5372298      0.3038996      -0.7629082
479      -0.5373839      0.3034043      -0.7627643
479      -0.5376492      0.3028835      -0.7626743
479      -0.5376792      0.3032143      -0.7625658
479      -0.5378198      0.3031336      -0.7624037
479      -0.5380156      0.3033035      -0.7621424
479      -0.5380824      0.3033936      -0.7619581
479      -0.5382333      0.3035602      -0.7617037
479      -0.5383356      0.3039762      -0.7614884
479      -0.5383442      0.3039953      -0.7614702
479      -0.5385973      0.304545      -0.7610699
479      -0.5386949      0.3048201      -0.7609168
479      -0.5388832      0.3051362      -0.7607047
479      -0.5389154      0.3055663      -0.7605895
479      -0.5391702      0.3061854      -0.7601608
479      -0.5391828      0.3062896      -0.7601142
479      -0.5393904      0.3065492      -0.7599168
479      -0.5395255      0.3078007      -0.7595912
479      -0.5396137      0.3079221      -0.7593845
479      -0.5397993      0.3087276      -0.7591931
479      -0.5399223      0.3095537      -0.759002
479      -0.5400394      0.3100561      -0.7586913
479      -0.5401598      0.3110596      -0.7582858
479      -0.5402369      0.3118086      -0.757821
479      -0.5402755      0.3120539      -0.7577384
479      -0.5403408      0.3126624      -0.7574489
479      -0.5405862      0.3131066      -0.7567526
479      -0.540556      0.3133924      -0.7560506
479      -0.5405386      0.313631      -0.7553075
479      -0.5402951      0.3137386      -0.7542254
479      -0.5400698      0.3138646      -0.7531585
479      -0.5393429      0.3129937      -0.7521603
479      -0.5371689      0.3095274      -0.7510476
479      -0.5358546      0.3085346      -0.7505023
479      -0.5346475      0.3079616      -0.7498147
479      -0.5336789      0.3080727      -0.7490776
479      -0.5332091      0.3083774      -0.7482518
479      -0.5328069      0.3089857      -0.747479
479      -0.5327274      0.3095639      -0.7466144
479      -0.5325578      0.3101383      -0.7456347
479      -0.5325313      0.3110242      -0.7448446
479      -0.5324912      0.3117524      -0.7440016
479      -0.5323531      0.3128528      -0.743154
479      -0.5318769      0.3150565      -0.7415971
479      -0.5316227      0.3163181      -0.7409225
479      -0.5315905      0.3172801      -0.740062
479      -0.5313823      0.3182997      -0.7391877
479      -0.5313634      0.3193038      -0.738196
479      -0.5312451      0.3202088      -0.7373903
479      -0.5312876      0.3211355      -0.7364862
479      -0.5313662      0.3216949      -0.7355841
479      -0.5312993      0.3231384      -0.7347289
479      -0.5313197      0.3238845      -0.7337653
479      -0.5315278      0.3257587      -0.7321162
479      -0.5315812      0.3267338      -0.7313856
479      -0.5316445      0.32752      -0.7305144
479      -0.5317655      0.3281327      -0.7297595
479      -0.5318763      0.3289304      -0.7289371
479      -0.5319666      0.3301317      -0.7274824
479      -0.5320094      0.3309268      -0.7268111
479      -0.5319756      0.3314644      -0.7261224
479      -0.5319756      0.3314644      -0.7261224
479      -0.5319351      0.3322425      -0.7255571
479      -0.5320264      0.3329843      -0.7250273
479      -0.5321891      0.3344665      -0.7239598
479      -0.532276      0.3349756      -0.7233354
479      -0.5323899      0.3354158      -0.7228168
479      -0.5325587      0.3372263      -0.7219459
479      -0.5326886      0.3379851      -0.721504
479      -0.532766      0.3387878      -0.721144
479      -0.53289      0.3395173      -0.7205967
479      -0.5330102      0.3403786      -0.72017
479      -0.5331892      0.3411833      -0.7197563
479      -0.5333816      0.3420119      -0.7193487
479      -0.5336724      0.3429069      -0.7189562
479      -0.5338243      0.3435932      -0.7184727
479      -0.534218      0.3446766      -0.7181339
479      -0.5344955      0.3456508      -0.7178574
479      -0.5348726      0.3464612      -0.7175606
479      -0.5354298      0.3478989      -0.7171839
479      -0.5357291      0.3484894      -0.7168568
479      -0.5361627      0.3497831      -0.7167149
479      -0.5364549      0.3505381      -0.7165323
479      -0.5366727      0.3515207      -0.7163501
479      -0.5370448      0.3517351      -0.7160699
479      -0.5373464      0.3531667      -0.716011
479      -0.5379857      0.3545348      -0.715825
479      -0.5382838      0.3548161      -0.7156808
479      -0.5386626      0.3557247      -0.7157612
479      -0.5389639      0.3562303      -0.7157537
479      -0.5393438      0.3565193      -0.7157966
479      -0.5396537      0.3574094      -0.715673
479      -0.5396537      0.3574094      -0.715673
479      -0.5405176      0.3585466      -0.7155744
479      -0.5408466      0.3590293      -0.7155309
479      -0.5412819      0.3596638      -0.7155318
479      -0.5418248      0.3600968      -0.7154688
479      -0.5429062      0.3612374      -0.7154878
479      -0.5434915      0.3617488      -0.7154635
479      -0.544083      0.3614886      -0.7155671
479      -0.5446321      0.3627835      -0.7155403
479      -0.5450869      0.3631657      -0.7154813
479      -0.5455629      0.3636438      -0.7154899
479      -0.545984      0.3640683      -0.715516
479      -0.5465021      0.3646595      -0.7155645
479      -0.5469203      0.3651098      -0.7155151
479      -0.547349      0.3655389      -0.7155328
479      -0.5483697      0.3665651      -0.7154436
479      -0.5489347      0.367124      -0.7155203
479      -0.5495369      0.3676503      -0.7155552
479      -0.5495369      0.3676503      -0.7155552
479      -0.5501023      0.368057      -0.7156243
479      -0.5510037      0.3689907      -0.7156743
479      -0.5515265      0.3697523      -0.7157114
479      -0.5522855      0.3708294      -0.7157292
479      -0.5526803      0.3713349      -0.7156773
479      -0.5531027      0.3719943      -0.7155296
479      -0.553686      0.3727454      -0.7154334
479      -0.5541044      0.3732152      -0.7153452
479      -0.5544677      0.3736998      -0.715099
479      -0.5549098      0.3743998      -0.7150085
479      -0.5553525      0.374965      -0.7148904
479      -0.5558435      0.3755097      -0.7147143
479      -0.5562432      0.3759793      -0.7145424
479      -0.557249      0.3768098      -0.7141217
479      -0.5578332      0.3773548      -0.7139066
479      -0.5578332      0.3773548      -0.7139066
479      -0.5584173      0.3779062      -0.7135848
479      -0.5597139      0.3790592      -0.7128322
479      -0.5603547      0.3794957      -0.7124473
479      -0.5610904      0.3801436      -0.7120666
479      -0.561808      0.38062      -0.7117065
479      -0.5624692      0.3809237      -0.7113202
479      -0.5634      0.3816186      -0.710938
479      -0.5650644      0.3826076      -0.7101365
479      -0.5660722      0.3830899      -0.7096449
479      -0.5670282      0.3835675      -0.7091259
479      -0.5680849      0.3843449      -0.7087002
479      -0.5690416      0.3849027      -0.7080832
479      -0.570021      0.385505      -0.7074388
479      -0.5710626      0.3861467      -0.7067895
479      -0.5721      0.3868099      -0.7062565
479      -0.5740994      0.3881359      -0.7051552
479      -0.575066      0.3888564      -0.7046319
479      -0.5759778      0.3895607      -0.7041005
479      -0.5768896      0.3903048      -0.7035044
479      -0.5777624      0.391239      -0.7029459
479      -0.5785658      0.3919579      -0.7022789
479      -0.579345      0.3928475      -0.7016426
479      -0.5800449      0.3936518      -0.701019
479      -0.5807816      0.394465      -0.7004096
479      -0.5814632      0.3952934      -0.6998008
479      -0.5820425      0.3960706      -0.6993206
479      -0.5831946      0.3978279      -0.6983461
479      -0.5831946      0.3978279      -0.6983461
479      -0.5840685      0.3992318      -0.6974846
479      -0.5844119      0.4000047      -0.6971363
479      -0.5848442      0.4007915      -0.6967727
479      -0.585071      0.4013038      -0.6964179
479      -0.5853177      0.4020047      -0.6960258
479      -0.585723      0.4031751      -0.6953791
479      -0.5858324      0.4032111      -0.6952553
479      -0.5859269      0.4039368      -0.6950465
479      -0.5859962      0.4046843      -0.6947623
479      -0.5859277      0.4052392      -0.6947086
479      -0.5859612      0.4055576      -0.6946356
479      -0.5858911      0.4060126      -0.6946601
479      -0.5857925      0.4064651      -0.6946754
479      -0.5856329      0.4066559      -0.6947173
479      -0.5850898      0.4072581      -0.6950627
479      -0.5849004      0.4074993      -0.6951159
479      -0.584694      0.4078858      -0.6951475
479      -0.5843963      0.4079404      -0.6954675
479      -0.584129      0.4078604      -0.6959303
479      -0.5838699      0.4080661      -0.6963024
479      -0.5835078      0.408431      -0.6965839
479      -0.5832544      0.4085822      -0.6970245
479      -0.5827444      0.4084755      -0.6975315
479      -0.5819679      0.4084157      -0.6985965
479      -0.5815133      0.4083112      -0.6991582
479      -0.5811463      0.4082676      -0.6997196
479      -0.580857      0.408075      -0.7003362
479      -0.580857      0.408075      -0.7003362
479      -0.5806091      0.4080468      -0.7008448
479      -0.5802336      0.4079102      -0.7020686
479      -0.5802336      0.4079102      -0.7020686
479      -0.5799006      0.4075679      -0.703328
479      -0.5797728      0.4073536      -0.704576
479      -0.5797287      0.4070639      -0.7052076
479      -0.5796276      0.407122      -0.705706
479      -0.57965      0.4069204      -0.7063125
479      -0.5796302      0.4069027      -0.7067423
479      -0.579565      0.4068094      -0.7072142
479      -0.579565      0.4068094      -0.7072142
479      -0.5796973      0.4068631      -0.7082164
479      -0.5796608      0.406735      -0.7085535
479      -0.5797051      0.4066485      -0.7094893
479      -0.5796631      0.4068708      -0.7099074
479      -0.579569      0.4070715      -0.7101477
479      -0.5794745      0.4070122      -0.7104176
479      -0.5794745      0.4070122      -0.7104176
479      -0.5793375      0.4071487      -0.7110385
479      -0.5793427      0.4073516      -0.7112317
479      -0.5791961      0.4075486      -0.7114155
479      -0.5790852      0.4076626      -0.7116412
479      -0.5789691      0.4077525      -0.7119364
479      -0.5788059      0.4079209      -0.7122677
479      -0.5783122      0.4077605      -0.7130997
479      -0.5779533      0.4080417      -0.7133987
479      -0.5776706      0.4079316      -0.7138089
479      -0.5772826      0.4087131      -0.7139233
479      -0.5768442      0.4087534      -0.7142304
479      -0.5764692      0.4087264      -0.7145561
479      -0.5759528      0.4090891      -0.7147893
